,business_id,attributes.RestaurantsDelivery,attributes.Open24Hours,attributes.CoatCheck,attributes.DogsAllowed,postal_code,attributes.Smoking,attributes.DietaryRestrictions,attributes.GoodForKids,stars,latitude,attributes.Alcohol,attributes.RestaurantsPriceRange2,attributes.RestaurantsTableService,attributes.RestaurantsCounterService,attributes.Corkage,attributes.RestaurantsGoodForGroups,categories,name,attributes.HappyHour,attributes.WheelchairAccessible,attributes.Caters,attributes.BYOBCorkage,attributes.BYOB,is_open,neighborhood,attributes.Ambience,longitude,attributes.BestNights,review_count,attributes.BusinessAcceptsCreditCards,attributes.DriveThru,attributes.HasTV,attributes.Music,hours,attributes.BusinessParking,attributes.WiFi,attributes.RestaurantsAttire,hours.Sunday,hours.Saturday,hours.Friday,attributes.RestaurantsReservations,attributes.RestaurantsTakeOut,attributes.BikeParking,attributes.OutdoorSeating,city,state
3438,8B_ipmGG-zd8SUd7_0JqFQ,False,,,,L4W 1V5,,,True,3.5,43.624469766000004,none,1.0,False,,,False,"Restaurants, Mexican, Tex-Mex",Fat Bastard Burrito,,,False,,,1,Rockwood Village,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",-79.60198798399999,,21,True,,True,,"{'Monday': '11:0-23:0', 'Tuesday': '11:0-23:0', 'Friday': '11:0-0:0', 'Wednesday': '11:0-23:0', 'Thursday': '11:0-23:0', 'Sunday': '11:0-23:0', 'Saturday': '11:0-0:0'}","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",no,casual,11:0-23:0,11:0-0:0,11:0-0:0,False,True,True,False,Mississauga,ON
3444,xNNAfZJkLZlAeS-I7-QwgA,True,,,,M5T 2S7,,,True,3.5,43.652773700000004,full_bar,1.0,True,,,True,"Vietnamese, Restaurants",Pho Tien,,,,,,1,Little Italy,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",-79.40622900000002,,41,True,,True,,"{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Friday': '11:0-23:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Sunday': '11:0-23:0', 'Saturday': '11:0-23:0'}","{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",no,casual,11:0-23:0,11:0-23:0,11:0-23:0,True,True,True,False,Toronto,ON
3445,DzZOOXfaj9xH-gKCv3fsbQ,True,,,,L5B 4L1,,,True,3.5,43.575942489,none,2.0,False,,,True,"Portuguese, Restaurants, Halal, Fast Food",Galito's Flame Grilled Chicken,,,True,,,1,,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",-79.6463427934,,48,True,False,False,,"{'Monday': '11:30-22:0', 'Tuesday': '11:30-22:0', 'Friday': '11:30-0:0', 'Wednesday': '11:30-22:0', 'Thursday': '11:30-22:0', 'Sunday': '11:30-22:0', 'Saturday': '11:30-0:0'}","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",no,casual,11:30-22:0,11:30-0:0,11:30-0:0,False,True,True,False,Mississauga,ON
3455,WVAvGK24DQ9FdsEHBqIygQ,True,,,,M5V 1Z4,,,True,4.0,43.6502718,full_bar,1.0,False,,,True,"Mexican, Restaurants",Mi Taco Taqueria,,True,True,,,1,Queen Street West,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",-79.3887054,,82,True,,False,,"{'Monday': '11:30-22:0', 'Tuesday': '11:30-22:0', 'Friday': '11:30-22:0', 'Wednesday': '11:30-22:0', 'Thursday': '11:30-22:0', 'Sunday': '12:0-21:0', 'Saturday': '12:0-22:0'}","{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",free,casual,12:0-21:0,12:0-22:0,11:30-22:0,False,True,True,False,Toronto,ON
3458,-7EwIdxcRC5McO35DVfeSQ,False,,,,L3R 2Z5,,,True,4.0,43.8187487,none,2.0,True,,,True,"Chinese, Halal, Restaurants",Xin Jiang Restaurant,,,False,,,1,Scarborough,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",-79.33047359999998,,106,False,,False,,"{'Monday': '11:30-14:0', 'Tuesday': '11:30-14:0', 'Friday': '11:30-14:0', 'Wednesday': '11:30-14:0', 'Thursday': '11:30-14:0', 'Sunday': '11:30-14:0', 'Saturday': '11:30-14:0'}","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",no,casual,11:30-14:0,11:30-14:0,11:30-14:0,True,True,False,False,Markham,ON
3461,Fr4oyAcJ2R7bNsidcUJ3Tg,,,,,L6Y 4R3,,,,3.0,43.6511039,,,,,,,"Pizza, Restaurants",Moga Pizza,,,,,,1,,,-79.75832199999998,,9,,,,,,,,,,,,,,,False,Brampton,ON
3464,PZaKEA_Q8JB0lzpqkuyV1A,False,,,,L4K 5Y6,,,True,3.5,43.8280206984,beer_and_wine,2.0,True,,,True,"Restaurants, Vietnamese",Picko Lime,,True,False,,,1,,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",-79.5369870234,,77,True,,False,,"{'Monday': '11:0-21:0', 'Tuesday': '11:0-22:0', 'Friday': '11:0-23:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Sunday': '11:0-21:0', 'Saturday': '11:0-23:0'}","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",free,casual,11:0-21:0,11:0-23:0,11:0-23:0,True,True,False,False,Vaughan,ON
3467,VA95qAV2PRH9gtTi2Vfv4Q,True,,,,M5R 1B8,,,False,3.5,43.6710199,full_bar,2.0,True,,,True,"Food, Pizza, Coffee & Tea, Italian, Salad, Restaurants",Trattoria Nervosa,,False,True,,,1,Yorkville,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",-79.39108540000002,,262,True,,False,,"{'Monday': '11:30-22:0', 'Tuesday': '11:30-22:0', 'Friday': '11:30-23:0', 'Wednesday': '11:30-22:0', 'Thursday': '11:30-23:0', 'Sunday': '12:0-22:0', 'Saturday': '11:30-23:0'}","{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",no,casual,12:0-22:0,11:30-23:0,11:30-23:0,True,True,True,True,Toronto,ON
3471,yKaAlvQILs53ML8BpavKhw,True,,,,L4A 8C1,,,True,3.0,43.9646162,beer_and_wine,2.0,True,,,True,"Japanese, Restaurants",Maki Zushi,,,True,,,1,,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",-79.2736912,,51,True,,False,,"{'Monday': '11:30-22:0', 'Tuesday': '11:30-22:0', 'Friday': '11:30-23:0', 'Wednesday': '11:30-22:0', 'Thursday': '11:30-22:0', 'Sunday': '12:0-21:30', 'Saturday': '11:30-23:0'}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",free,casual,12:0-21:30,11:30-23:0,11:30-23:0,True,True,False,False,Stouffville,ON
3472,iNhP0ejUf2jVzaR5YCOoEQ,False,,,,M1T 3K2,,,True,3.5,43.778649,full_bar,2.0,True,,,True,"Pizza, Restaurants, Italian",Remezzo Italian Bistro,,True,True,,,1,Scarborough,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",-79.30826400000002,,133,True,,False,,"{'Monday': '11:0-23:0', 'Tuesday': '11:0-23:0', 'Friday': '11:0-0:0', 'Wednesday': '11:0-23:0', 'Thursday': '11:0-23:0', 'Sunday': '12:0-22:0', 'Saturday': '12:0-0:0'}","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",free,casual,12:0-22:0,12:0-0:0,11:0-0:0,True,True,True,False,Scarborough,ON
3473,e0oGbo3TUPn_0A-hiuYECQ,False,,,,L5A 3V9,,,True,4.0,43.5988546,none,2.0,False,,,,"Restaurants, Greek",George's Greek Grill,,,True,,,1,Mississauga Valley,,-79.612077,,11,,,,,"{'Monday': '11:0-20:0', 'Tuesday': '11:0-20:0', 'Friday': '11:0-21:0', 'Wednesday': '11:0-20:0', 'Thursday': '11:0-21:0', 'Sunday': '12:0-20:0', 'Saturday': '11:0-21:0'}","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",,casual,12:0-20:0,11:0-21:0,11:0-21:0,False,True,,False,Mississauga,ON
3477,VINRQr_PFUqs9VogCIM0Lg,False,,False,,L5B 4M6,,,True,4.0,43.5808554158,full_bar,2.0,True,,,True,"Comfort Food, Burgers, American (Traditional), Bars, Sandwiches, Restaurants, Nightlife, Canadian (New)",Kelseys Original Roadhouse,True,,True,,,1,,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",-79.6481135228,"{'monday': False, 'tuesday': False, 'friday': False, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': False}",27,True,False,True,"{'dj': False, 'background_music': False, 'no_music': False, 'karaoke': False, 'live': False, 'video': False, 'jukebox': False}","{'Monday': '11:0-1:0', 'Tuesday': '11:0-1:0', 'Friday': '11:0-1:0', 'Wednesday': '11:0-1:0', 'Thursday': '11:0-1:0', 'Sunday': '11:0-23:0', 'Saturday': '11:0-1:0'}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",free,casual,11:0-23:0,11:0-1:0,11:0-1:0,True,True,True,True,Mississauga,ON
3479,dvbcUnKv2awsIxog7dO4vw,False,,,,M5T 1G8,,,True,4.0,43.6533122,beer_and_wine,1.0,True,,,True,"Restaurants, Cafes, Chinese",Hong Kong Bistro Cafe,,,False,,,1,Chinatown,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",-79.3968442,,77,False,,True,,"{'Monday': '11:0-23:0', 'Tuesday': '11:0-23:0', 'Friday': '11:0-23:0', 'Wednesday': '11:0-23:0', 'Thursday': '11:0-23:0', 'Sunday': '11:0-23:0', 'Saturday': '11:0-23:0'}","{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",no,casual,11:0-23:0,11:0-23:0,11:0-23:0,False,True,True,False,Toronto,ON
3482,M6sS5Llw0FnJu1J3b78WOg,False,,,,L3Y 3Y9,,,True,4.0,44.052665999999995,,2.0,True,,,True,"Canadian (New), Food, Gluten-Free, Sandwiches, Restaurants, Breakfast & Brunch, Bakeries",The Maids' Cottage,,,True,,,1,,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",-79.45690069999998,,31,True,,False,,"{'Monday': '8:0-17:0', 'Tuesday': '8:0-17:0', 'Friday': '8:0-17:0', 'Wednesday': '8:0-17:0', 'Thursday': '8:0-17:0', 'Sunday': '12:0-17:0', 'Saturday': '8:0-17:0'}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,casual,12:0-17:0,8:0-17:0,8:0-17:0,True,True,True,True,Newmarket,ON
3484,T_Vjy4_Z-F0mFQMLRHDTrQ,False,,,,M6G 1K1,,,True,3.5,43.6653403,none,1.0,False,,,True,"Caribbean, Restaurants",Jerk King,,,True,,,1,The Annex,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",-79.4102561,,49,True,,False,,"{'Monday': '11:0-3:0', 'Tuesday': '11:0-3:0', 'Friday': '11:0-4:0', 'Wednesday': '11:0-3:0', 'Thursday': '11:0-4:0', 'Sunday': '11:0-3:0', 'Saturday': '11:0-4:0'}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",no,casual,11:0-3:0,11:0-4:0,11:0-4:0,False,True,True,False,Toronto,ON
3485,im4-DobhYrDb6sjHpGZKuQ,True,,,,L4H 2J3,,,True,4.0,43.8269601,beer_and_wine,2.0,True,,,True,"Italian, Restaurants, Pizza",Amici Pizzeria and Panini,,,False,,,1,Pine Grove,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",-79.5514802,,11,True,,True,,"{'Tuesday': '9:0-21:0', 'Friday': '9:0-23:0', 'Wednesday': '9:0-21:0', 'Thursday': '9:0-21:0', 'Sunday': '12:0-21:0', 'Saturday': '9:0-23:0'}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",free,casual,12:0-21:0,9:0-23:0,9:0-23:0,False,True,True,True,Vaughan,ON
3490,28R3X-IsbcdU5oFskrW3IQ,True,,,,L7A 3Y7,,,True,5.0,43.6816996756,,2.0,,,,True,"Restaurants, Fast Food, Chicken Wings",Popeyes Louisiana Kitchen,,,,,,1,,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",-79.8150559142,,4,,,,,"{'Monday': '11:0-23:0', 'Tuesday': '11:0-23:0', 'Friday': '11:0-0:0', 'Wednesday': '11:0-23:0', 'Thursday': '11:0-23:0', 'Sunday': '11:0-23:0', 'Saturday': '11:0-23:0'}",,free,casual,11:0-23:0,11:0-23:0,11:0-0:0,False,True,True,False,Brampton,ON
3491,LbYPVZX8vXq1lKY9pEN74Q,False,,,,M5S 1Y2,,,True,3.5,43.6656865,none,2.0,False,,,True,"Thai, Chinese, Restaurants",Walk In Wok Out,,True,,,,0,,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",-79.407886,,7,True,,,,,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",,casual,,,,False,True,,False,Toronto,ON
3496,w2IE4nbufBqwrub7CW80xg,False,,False,,L5M 1X3,no,,True,3.5,43.5811589,full_bar,2.0,True,,,True,"Pizza, Bars, Food, Wine Bars, Italian, Nightlife, Beer, Wine & Spirits, Restaurants",Goodfellas Pizza,False,,True,,,1,Streetsville,"{'romantic': True, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",-79.7129813,"{'monday': False, 'tuesday': False, 'friday': True, 'wednesday': True, 'thursday': False, 'sunday': False, 'saturday': True}",132,True,,True,"{'dj': False, 'background_music': True, 'no_music': False, 'karaoke': False, 'live': False, 'video': False, 'jukebox': False}","{'Monday': '11:30-23:0', 'Tuesday': '11:30-23:0', 'Friday': '11:30-23:30', 'Wednesday': '11:30-23:0', 'Thursday': '11:30-23:0', 'Sunday': '11:30-23:0', 'Saturday': '11:30-23:30'}","{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",free,casual,11:30-23:0,11:30-23:30,11:30-23:30,True,True,False,True,Mississauga,ON
3497,hDO8bWV_Ua8NxtfpStuuZg,False,,,,L3R 2P1,,,True,4.0,43.8437124813,full_bar,2.0,True,,,True,"Bars, Hair Salons, Nightlife, Restaurants, Lounges, Cafes, Beauty & Spas",Initium,False,,False,,,1,Brown's Corners,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': True, 'upscale': False, 'casual': True}",-79.3554014333,"{'monday': False, 'tuesday': False, 'friday': False, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': False}",87,True,,True,,"{'Monday': '10:0-19:0', 'Friday': '10:0-0:0', 'Wednesday': '10:0-19:0', 'Thursday': '10:0-0:0', 'Sunday': '10:0-19:0', 'Saturday': '10:0-0:0'}","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",free,casual,10:0-19:0,10:0-0:0,10:0-0:0,True,True,True,False,Markham,ON
3502,93HQMacPKmVVRLd8Oebx5w,False,,,,M3J 3A6,,,True,3.0,43.758032299999996,none,2.0,,,,True,"Fast Food, Burgers, Restaurants",McDonald's,,,,,,1,,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",-79.465378,,11,True,True,False,,"{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Friday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Sunday': '0:0-0:0', 'Saturday': '0:0-0:0'}",,,casual,0:0-0:0,0:0-0:0,0:0-0:0,False,True,False,False,Toronto,ON
3505,g-nzfTvso3-4c4gkhkmGbQ,False,,,False,L3R 1A3,,,True,3.0,43.8188292,full_bar,2.0,True,,,True,"Italian, Buffets, Restaurants",Frankie Tomatto's,,True,False,,,1,,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",-79.34920179999997,,211,True,,False,,"{'Monday': '17:0-21:0', 'Tuesday': '17:0-21:0', 'Friday': '17:0-22:0', 'Wednesday': '17:0-21:0', 'Thursday': '17:0-21:0', 'Sunday': '16:0-21:0', 'Saturday': '16:0-22:0'}","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",free,casual,16:0-21:0,16:0-22:0,17:0-22:0,True,True,True,True,Markham,ON
3513,QTVvuhrbBDJfqaTyFOUMkw,False,,,,M5P 2W1,,,True,3.0,43.6883404,beer_and_wine,2.0,True,,,True,"Greek, Mediterranean, Restaurants",Mashu Mashu Mediterranean Grill,,True,True,,,1,,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",-79.4124862,,32,True,,False,,"{'Monday': '11:30-21:0', 'Tuesday': '11:30-21:0', 'Friday': '9:0-21:0', 'Wednesday': '11:30-21:0', 'Thursday': '9:0-21:0', 'Sunday': '9:0-21:0', 'Saturday': '9:0-21:0'}","{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",no,casual,9:0-21:0,9:0-21:0,9:0-21:0,True,True,True,False,Toronto,ON
3516,33IS-0QBNwRC8cXnHABpbg,False,,,,M6J 1V1,,,False,4.0,43.6519405,full_bar,3.0,True,,,True,"Restaurants, Canadian (New), Asian Fusion",Bent,,,False,,,0,Little Italy,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': True, 'upscale': False, 'casual': False}",-79.4073171,,183,True,,False,,"{'Monday': '17:30-22:30', 'Tuesday': '17:30-22:30', 'Friday': '17:30-23:0', 'Wednesday': '17:30-22:30', 'Thursday': '17:30-23:0', 'Saturday': '17:30-23:0'}","{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",no,dressy,,17:30-23:0,17:30-23:0,True,False,True,True,Toronto,ON
3518,GLTLuTgZ8Pn5j4-aw2GCPQ,False,,False,,M4T 1W5,no,,False,4.0,43.6836035,full_bar,2.0,True,,,True,"Pubs, British, Restaurants, Bars, Nightlife",The Monk's Table,False,,False,,,1,Summer Hill,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': True, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",-79.39249559999998,"{'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': True, 'sunday': False, 'saturday': True}",59,True,,True,"{'dj': False, 'background_music': True, 'no_music': False, 'karaoke': False, 'live': False, 'video': False, 'jukebox': False}","{'Monday': '11:30-2:0', 'Tuesday': '11:30-2:0', 'Friday': '11:30-2:0', 'Wednesday': '11:30-2:0', 'Thursday': '11:30-2:0', 'Sunday': '10:30-23:0', 'Saturday': '10:30-2:0'}","{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",no,casual,10:30-23:0,10:30-2:0,11:30-2:0,True,True,True,False,Toronto,ON
3519,XD0LjNuPPwJPsTAHecUh7A,False,,,,M4W 2L8,,,True,3.0,43.6800112831,full_bar,3.0,True,,,True,"Restaurants, Italian",Terroni,,True,False,,,1,Rosedale,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': True, 'upscale': False, 'casual': False}",-79.3905191479,,207,True,,False,,"{'Monday': '11:30-22:0', 'Tuesday': '11:30-22:0', 'Friday': '11:30-23:0', 'Wednesday': '11:30-22:0', 'Thursday': '11:30-23:0', 'Sunday': '11:30-22:0', 'Saturday': '11:30-23:0'}","{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",no,casual,11:30-22:0,11:30-23:0,11:30-23:0,True,True,True,True,Toronto,ON
3520,eKznX8VTfcQrjCqXpeobiw,False,,,False,M5S 2K8,,,False,4.5,43.66277520000001,full_bar,2.0,True,,,True,"Middle Eastern, Canadian (New), Restaurants, Tapas/Small Plates",Rasa,,,True,,,1,,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': True, 'upscale': False, 'casual': False}",-79.40396820000002,,195,True,,False,,"{'Monday': '17:30-0:0', 'Tuesday': '17:30-0:0', 'Friday': '17:30-0:0', 'Wednesday': '17:30-0:0', 'Thursday': '17:30-0:0', 'Sunday': '11:0-16:0', 'Saturday': '17:30-0:0'}","{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",free,casual,11:0-16:0,17:30-0:0,17:30-0:0,True,False,True,True,Toronto,ON
3523,VGqzcHo_IJgRT0UV4oI52g,False,,,,M5V 2B4,,,True,3.5,43.6481193,none,2.0,False,,,False,"Burgers, Restaurants",The P&L Burger,,,False,,,0,Queen Street West,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': True, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",-79.39869909999999,,138,True,False,False,,"{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Friday': '11:0-23:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-23:0', 'Sunday': '11:0-21:0', 'Saturday': '11:0-23:0'}","{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",no,casual,11:0-21:0,11:0-23:0,11:0-23:0,False,True,True,False,Toronto,ON
3527,JccZKQS8-5Oikp0u30zZ8g,False,,,False,M4M 1K1,,,False,4.0,43.66142,full_bar,3.0,True,,,True,"Bars, Beer, Wine & Spirits, Restaurants, Local Flavor, Wine Bars, Food, Canadian (New), Nightlife",Skin+Bones,,True,False,,,0,Leslieville,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': True, 'upscale': False, 'casual': False}",-79.33973399999998,,165,True,,False,,"{'Tuesday': '17:0-22:0', 'Friday': '17:0-23:0', 'Wednesday': '17:0-22:0', 'Thursday': '17:0-22:0', 'Sunday': '10:0-22:0', 'Saturday': '17:0-23:0'}","{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",no,casual,10:0-22:0,17:0-23:0,17:0-23:0,True,True,True,False,Toronto,ON
3528,mwMBxsT57eAOtDV4I3DDEQ,False,,,,M4M 1Z4,,,True,3.5,43.6687987,beer_and_wine,1.0,True,,,True,"Restaurants, Vietnamese",Com Tam Pho 168,,False,False,,,1,Leslieville,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",-79.3375194,,70,True,,False,,"{'Monday': '10:0-23:0', 'Tuesday': '10:0-23:0', 'Friday': '10:0-23:0', 'Wednesday': '10:0-23:0', 'Thursday': '10:0-23:0', 'Sunday': '10:0-23:0', 'Saturday': '10:0-23:0'}","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",no,casual,10:0-23:0,10:0-23:0,10:0-23:0,False,True,True,False,Toronto,ON
3529,YFvnkR2XXeU6Qz9dY4ZaEw,False,,,False,L3R 0L7,,,True,4.0,43.8415066224,beer_and_wine,2.0,True,,,True,"Restaurants, Korean",Mr ChiMaek,,False,True,,,1,Milliken,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': True, 'touristy': False, 'trendy': True, 'upscale': False, 'casual': True}",-79.3038158119,,115,,,False,,"{'Monday': '12:0-0:0', 'Tuesday': '16:0-0:0', 'Friday': '12:0-0:0', 'Wednesday': '16:0-0:0', 'Thursday': '12:0-0:0', 'Sunday': '12:0-23:0', 'Saturday': '12:0-0:0'}","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",free,casual,12:0-23:0,12:0-0:0,12:0-0:0,False,True,False,False,Markham,ON
3531,UsKmYp0m8VYWM96tkGm2vQ,False,,,,M6H 1L7,,,True,4.0,43.661068900000004,full_bar,2.0,True,,,True,"African, Ethiopian, Restaurants",African Palace,,,False,,,1,Dufferin Grove,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",-79.4290307,,82,True,,True,,"{'Monday': '16:0-23:0', 'Tuesday': '16:0-23:0', 'Friday': '16:0-23:0', 'Wednesday': '16:0-23:0', 'Thursday': '16:0-23:0', 'Sunday': '16:0-23:0', 'Saturday': '16:0-23:0'}","{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",no,casual,16:0-23:0,16:0-23:0,16:0-23:0,True,True,True,False,Toronto,ON
3535,Vu2C9npNSaHLYM7lvkKJJQ,True,,False,,M9W 6A2,no,,True,3.5,43.6892420388,full_bar,2.0,True,,,True,"Nightlife, American (Traditional), Restaurants, Sports Bars, Canadian (New), Bars, Burgers",Jack Astor's Bar & Grill,True,True,False,,,1,Etobicoke,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",-79.5844583052,"{'monday': False, 'tuesday': False, 'friday': False, 'wednesday': True, 'thursday': True, 'sunday': False, 'saturday': True}",57,True,False,True,"{'dj': False, 'background_music': False, 'no_music': False, 'karaoke': False, 'live': False, 'video': False, 'jukebox': False}","{'Monday': '11:0-1:0', 'Tuesday': '11:0-1:0', 'Friday': '11:0-2:0', 'Wednesday': '11:0-1:0', 'Thursday': '11:0-2:0', 'Sunday': '11:0-1:0', 'Saturday': '11:0-2:0'}","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",free,casual,11:0-1:0,11:0-2:0,11:0-2:0,True,True,True,True,Toronto,ON
3537,oOTffSrVgDpDLDbSdGtmqA,False,,,,L5M 7E1,,,True,2.5,43.555863243500006,none,1.0,False,,,True,"Fast Food, Restaurants, Burgers",Wendy's,,,False,,,1,Erin Mills,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",-79.7109345649,,9,True,True,False,,,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",free,casual,,,,False,True,True,False,Mississauga,ON
3538,yg_A_TpYkJjr1fef0J6QkQ,False,,,,M2N 5P2,,,False,3.5,43.76703320000001,none,2.0,True,,,False,"Ramen, Restaurants, Japanese",Konjiki Ramen,,False,False,,,1,Willowdale,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': True, 'upscale': False, 'casual': True}",-79.4119267,,285,,,False,,"{'Monday': '11:30-22:0', 'Tuesday': '11:30-22:0', 'Friday': '11:30-23:30', 'Wednesday': '11:30-22:0', 'Thursday': '11:30-22:0', 'Sunday': '11:30-22:0', 'Saturday': '11:30-23:30'}","{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",free,casual,11:30-22:0,11:30-23:30,11:30-23:30,False,False,True,False,Toronto,ON
